spec,S_009_01,S_009_02,S_009_03
Festuca valesiaca Gaudin,7,,
Elytrigia cretacea (Klokov & Prokudin) Klokov & Prokudin,35,5,8
Stipa lessingiana Trin. & Rupr.,20,,
Stipa zalesskii Wilensky,10,,
Convolvulus lineatus L.,,6,10
Euphorbia cretophila Klokov,10,,9
Euphorbia stepposa Zoz ex Prokh.,4,6,
Vincetoxicum cretaceum (Pobed.) Wissjul.,,12,
Galium tomentellum Klokov,5,,
Galium xeroticum (Klokov) Soó,11,,
Vinca herbacea Waldst. & Kit.,3,,
Onosma tanaitica Klokov,9,30,15
Amygdalus nana L.,10,,
Filipendula vulgaris Moench,12,,
Fragaria campestris Steven,10,,
Clematis lathyrifolia Besser ex Rchb.,4,,
Thalictrum minus L.,3,,6
Marrubium praecox Janka,5,,
Salvia nutans L.,6,,
Teucrium polium L.,11,,
Thymus cretaceus Klokov & Des.-Shost.,,17,40
Teucrium polium L.,1,8,11
Linum czernjajevii Klokov,14,14,30
Linum tenuifolium L.,8,11,5
Poterium polygamum Waldst. & Kit.,,1,
Astragalus albicaulis DC.,7,,
Achillea stepposa Klokov & Krytzka,15,,
Artemisia pontica L.,2,16,6
Artemisi salsoloides Willd.,8,4,5
Aster bessarabicus Bernh. ex Rchb.,7,,
Centaurea carbonata Klokov,,7,15
