spec,S_013_01,S_013_02
Bromopsis riparia (Rehmann) Holub,10,
Festuca valesiaca Gaudin,15,50
Stipa capillata L.,25,
Euphorbia stepposa Zoz ex Prokh.,7,5
Verbascum densiflorum Bertol.,,1
Scabiosa ochroleuca L.,5,
Falcaria vulgaris Bernh.,2,
Eryngium campestre L.,7,3
Peucedanum ruthenicum M. Bieb.,6,6
Galium verum L.,5,
Plantago lanceolata L.,,2
Linum austriacum L.,,15
Linum czernjajevii Klokov,10,
Viola ambigua Waldst. & Kit.,3,
Marrubium praecox Janka,5,
Phlomoides tuberosa (L.) Moench,,3
Salvia nutans L.,25,
Salvia tesquicola Klokov & Pobed.,,7
Teucrium polium L.,7,
Thymus dimorphus Klokov & Des.-Shost.,40,25
Potentilla neglecta Baumg.,,4
Medicago procumbens Besser,5,3
Medicago romanica Prodán,3,
Vicia pilosa M. Bieb.,6,
Achillea nobilis L.,8,10
Artemisia austriaca Jacq.,9,6
Artemisia marschalliana Spreng.,4,
Centaurea diffusa Lam.,4,10
Centaurea orientalis L.,,2
Galatella villosa (L.) Rchb. f.,15,
Carex praecox Schreb.,,1
