spec,S_021_01,S_022_01,S_023_01
Bromopsis inermis (Leyss.) Holub,,,10
Bromopsis riparia (Rehmann) Holub,,,15
Elytrigia intermedia (Host) Nevski,25,,
Elytrigia repens (L.) Nevski,7,60,
Hierochloë stepporum P.A. Smirn.,,,10
Festuca valesiaca Gaudin,18,30,60
Poa angustifolia L.,25,,30
Plantago urvillei Opiz,,,4
Pseudolysimachion barrelieri (Schott) Holub,,5,
Pseudolysimachion viscosulum (Klokov) Tzvelev,,5,
Galium pseudohumifusum (Klokov) Ostapko,10,,
Galium ruthenicum Willd.,,16,
Limonium membranaceum (Czern.) Klokov,8,,
Euphorbia stepposa Zoz ex Prokh.,9,,2
Eryngium campestre L.,2,4,
Falcaria vulgaris Bernh.,,6,
Ferula galbanifera (Mill.) W.D.J. Koch,,,3
Peucedanum ruthenicum M. Bieb.,,18,9
Reseda lutea L.,,1,
Verbascum marschallianum Ivanina & Tzvelev,3,,
Cichorium intybus L.,,,4
Syrenia cana (Piller & Mitterp.) Neilr.,,,1
Agrimonia eupatoria L.,5,,
Amygdalus nana L.,10,,
Fragaria viridis Duchesne,2,,
Potentilla humifusa Willd. ex Schlecht.,,2,
Potentilla obscura Willd.,,1,
Marrubium praecox Janka,,,5
Phlomis pungens Willd.,,6,18
Phlomoides tuberosa (L.) Moench,,4,
Salvia nutans L.,,3,30
Salvia tesquicola Klokov & Pobed.,2,,7
Stachys transsilvanica Schur,,,8
Teucrium polium L.,,,8
Thymus marschallianus Willd.,5,,
Astragalus austriacus Jacq.,,,15
Caragana scythica (Kom.) Pojark.,,18,
Medicago romanica Prodán,7,10,4
Achillea pannonica Scheele,,,13
Artemisia austriaca Jacq.,,,14
Galatella dracunculoides (Lam.) Ness,25,,
Galatella villosa (L.) Rchb. f.,,40,
Inula britannica L.,7,,
Pilosella echioides (Lumn.) F. Schult. & Sch. Bip.,,1,
