spec,S_029_01,S_029_02,S_030_01,S_030_02
Anisantha tectorum (L.) Nevski,,,20,10
Bromopsis inermis (Leyss.) Holub,13,,,
Bromopsis riparia (Rehmann) Holub,16,,,
Elytrigia repens (L.) Nevski,5,60,50,60
Festuca rupicola Heuff.,,6,,
Festuca valesiaca Gaudin,20,12,35,7
Poa angustifolia L.,60,20,,20
Convolvulus arvensis L.,7,,7,15
Consolida paniculata (Host) Schur,,,7,10
Galium pseudohumifusum (Klokov) Ostapko,,17,25,20
Limonium membranaceum (Czern.) Klokov,,9,,40
Echium vulgare L.,4,,,
Euphorbia kaleniczenkoi Czern.,,4,,
Euphorbia stepposa Zoz ex Prokh.,5,6,,
Euphorbia seguieriana Neck.,,4,,
Eryngium campestre L.,,3,25,
Daucus carota L.,,7,,
Ferula euxina M.Pimen.,,,6,
Bupleurum rotundifolium L.,,,11,15
Alcea rosea L.,,2,,
Potentilla neglecta Baumg.,,6,,
Marrubium praecox Janka,10,,,
Phlomis pungens Willd.,,5,,
Salvia aethiopis L.,3,,,
Salvia tesquicola Klokov & Pobed.,7,5,15,7
Salvia verticillata L.,5,,,
Lotus ×ucrainicus Klokov,,5,,10
Medicago romanica Prodán,10,18,9,12
Securigera varia (L.) Lassen,,8,,13
Achillea nobilis L.,25,11,15,35
Achillea pannonica Scheele,,9,,
Artemisia absinthium L.,4,15,,
Artemisia austriaca Jacq.,15,,10,
Carduus acanthoides L.,7,5,2,10
Centaurea diffusa Lam.,35,,,
Cichorium intybus L.,,11,,
Cirsium polonicum (Petrak) Iljin,,8,3,
Lactuca serriola L.,7,,6,
Lactuca tatarica (L.) C.A. Mey.,3,,,
Onopordum acanthium L.,,,4,7
