spec,S_039_01,S_040_01,S_040_02,S_041_01,S_041_02
Anisantha sterilis (L.) Nevski,,6,,,
Elytrigia repens (L.) Nevski,,,13,70,70
Festuca valesiaca Gaudin,55,30,35,,
Koeleria cristata (L.) Pers.,10,,,,
Stipa capillata L.,1,,,,
Stipa ucrainica P.A. Smirn.,,20,,,
Convolvulus arvensis L.,,1,2,,
Plantago lanceolata L.,,2,1,,
Reseda lutea L.,,,,15,7
Euphorbia seguieriana Neck.,2,5,10,,5
Eryngium campestre L.,20,,,,
Falcaria vulgaris Bernh.,,,7,,
Seseli campestre Besser,,1,,,
Echium vulgare L.,,3,,,
Linaria vulgaris Mill.,,10,3,5,20
Melampyrum arvense L.,3,8,,,
Agrimonia eupatoria L.,,10,10,,
Potentilla callieri (Th. Wolf) Juz.,2,,,,
Potentilla humifusa Willd. ex Schlecht.,18,,,,
Potentilla neglecta Baumg.,5,,,,
Dianthus elongatus C.A. Mey.,,,10,,
Phlomoides tuberosa (L.) Moench,,7,1,,
Salvia nutans L.,,5,,,
Salvia verticillata L.,,2,,,
Lathyrus tuberosus L.,,,7,,
Lotus ×ucrainicus Klokov,,,15,,
Medicago romanica Prodán,15,4,15,,
Melilotus officinalis (L.) Lam.,,27,,,
Securigera varia (L.) Lassen,,2,,10,15
Achillea nobilis L.,,25,,,
Ambrosia artemisiifolia L.,,,,15,7
Artemisia austriaca Jacq.,7,,,,
Artemisia absinthium L.,,4,3,,
Carduus acanthoides L.,,4,4,10,
Cichorium intybus L.,,7,,,
Cirsium setosum (Willd.) Besser,15,25,16,25,30
Helichrysum arenarium (L.) Moench,,6,8,,
Galatella dracunculoides (Lam.) Ness,,,30,,10
Galatella villosa (L.) Rchb. f.,5,,,,
Inula britannica L.,,10,,,
Matricaria recutita L.,,,,5,
Phalacroloma annuum (L.) Dumort s.l.,,,,17,
Pilosella echioides (Lumn.) F. Schult. & Sch. Bip.,,6,11,,
Xeranthemum annuum L.,,20,,,
