plot,full,package,confidence,plot_id,plot_type,patch_id,bimass,time
C_001_01,159.365,35.368,1,1,C,1,123.99700000000001,2024-05-14T10:08:26Z
C_001_02,189.433,34.504,1,2,C,1,154.929,2024-05-14T10:38:16Z
C_001_03,223.658,33.994,1,3,C,1,189.664,2024-05-14T11:05:19Z
C_002_01,340.825,36.946,1,1,C,2,303.879,2024-05-22T07:09:17Z
C_002_02,175.346,35.976,1,2,C,2,139.37,2024-05-22T07:32:45Z
C_002_03,239.012,34.562,1,3,C,2,204.45,2024-05-22T07:56:49Z
C_003_01,371.51,35.011,1,1,C,3,336.49899999999997,2024-05-22T08:34:59Z
C_003_02,369.082,36.058,1,2,C,3,333.024,2024-05-22T08:52:05Z
C_003_03,383.313,36.707,1,3,C,3,346.606,2024-05-22T09:17:13Z
C_004_01,281.799,35.007,1,1,C,4,246.79199999999997,2024-05-29T05:35:00Z
C_004_02,325.153,34.443,1,2,C,4,290.71000000000004,2024-05-29T05:55:00Z
C_004_03,218.147,36.806,1,3,C,4,181.341,2024-05-29T06:22:00Z
C_005_01,239.013,34.38,1,1,C,5,204.633,2024-05-29T04:28:00Z
C_005_02,289.104,34.964,1,2,C,5,254.14,2024-05-29T04:08:00Z
C_005_03,183.021,35.989,1,3,C,5,147.03199999999998,2024-05-29T03:49:00Z
C_006_02,240.072,35.64,1,2,C,6,204.43200000000002,2024-06-05T07:49:52Z
C_007_02,286.043,34.693,1,2,C,7,251.35000000000002,2024-06-05T09:21:42Z
C_007_01,402.148,34.187,1,1,C,7,367.961,2024-06-05T08:46:50Z
C_007_03,404.048,36.59,1,3,C,7,367.45799999999997,2024-06-05T09:56:05Z
C_006_01,315.786,36.75,1,1,C,6,279.036,2024-06-05T07:28:11Z
C_006_03,409.778,34.543,1,3,C,6,375.235,2024-06-05T08:09:15Z
C_008_01,439.546,35.002,1,1,C,8,404.544,2024-06-11T04:01:00Z
C_008_02,266.072,36.246,1,2,C,8,229.826,2024-06-11T04:27:00Z
C_008_03,160.46,36.915,1,3,C,8,123.54500000000002,2024-06-11T04:45:00Z
C_009_02,160.982,35.09,1,2,C,9,125.892,2024-06-11T06:11:00Z
C_009_01,340.075,36.052,1,1,C,9,304.02299999999997,2024-06-11T05:47:00Z
C_008_04,541.973,34.615,1,4,C,8,507.35799999999995,2024-06-11T04:58:00Z
C_009_03,232.132,34.716,1,3,C,9,197.416,2024-06-11T06:28:00Z
C_011_01,328.809,34.271,1,1,C,11,294.538,2024-06-20T04:53:00Z
C_012_01,321.224,35.742,1,1,C,12,285.48199999999997,2024-06-20T05:25:00Z
C_013_01,271.579,34.577,1,1,C,13,237.002,2024-06-20T06:05:00Z
C_013_02,297.148,36.554,1,2,C,13,260.59400000000005,2024-06-20T06:31:00Z
C_010_02,591.482,70.32,1,2,C,10,521.162,2024-06-20T04:26:00Z
C_010_01,681.119,71.29,1,1,C,10,609.8290000000001,2024-06-20T04:18:00Z
C_017_01,275.47,33.959,1,1,C,17,241.51100000000002,2024-06-27T05:36:00Z
C_015_01,193.285,36.363,1,1,C,15,156.922,2024-06-27T04:13:00Z
C_016_02,162.164,34.522,1,2,C,16,127.642,2024-06-27T05:06:00Z
C_018_03,189.364,35.583,1,3,C,18,153.781,2024-06-27T06:46:00Z
C_018_04,252.23,34.449,1,4,C,18,217.781,2024-06-27T06:47:00Z
C_019_01,497.173,68.671,1,1,C,19,428.502,2024-07-02T08:02:00Z
C_020_01,381.558,68.028,1,1,C,20,313.53,2024-07-02T08:23:00Z
C_014_02,251.41,34.612,1,2,C,14,216.798,2024-06-27T03:37:00Z
C_014_01,243.113,36.394,1,1,C,14,206.719,2024-06-27T03:28:00Z
C_018_02,181.97,34.056,1,2,C,18,147.914,2024-06-27T06:17:00Z
C_015_03,557.413,69.886,1,3,C,15,487.52700000000004,2024-06-27T04:46:00Z
C_015_02,173.015,33.81,1,2,C,15,139.20499999999998,2024-06-27T04:22:00Z
C_017_02,262.883,34.158,1,2,C,17,228.72499999999997,2024-06-27T05:41:00Z
C_018_01,171.786,34.016,1,1,C,18,137.77,2024-06-27T06:11:00Z
C_016_01,285.488,68.32,1,1,C,16,217.168,2024-06-27T05:15:00Z
