class,order,family,genus,species,rank,author,sci_name,S_001_01,S_001_02,S_001_03,S_002_01,S_002_02,S_002_03,S_003_01,S_003_02,S_003_03,S_004_01,S_004_02,S_004_03,S_005_03,S_005_02,S_005_01,S_006_01,S_006_02,S_006_03,S_007_01,S_007_02,S_007_03,S_008_01,S_008_02,S_008_03,S_009_01,S_009_02,S_009_03,S_010_01,S_011_01,S_012_01,S_013_01,S_013_02,S_014_01,S_015_01,S_016_01,S_017_01,S_018_01,S_018_02,S_021_01,S_022_01,S_023_01,S_024_01,S_025_01,S_026_01,S_027_01,S_027_02,S_028_01,S_029_01,S_029_02,S_030_01,S_030_02,S_032_01,S_032_02,S_031_01,S_033_01,S_034_01,S_035_01,S_039_01,S_040_01,S_040_02,S_041_01,S_041_02,S_046_01,S_046_02,S_047_01,S_047_02,S_048_01,S_048_02
Liliopsida,Asparagales,Iridaceae,Iris,pumila,SPECIES,L.,Iris pumila L.,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Liliopsida,Poales,Cyperaceae,Carex,supina,SPECIES,Willd. ex Wahlenb.,Carex supina Willd. ex Wahlenb.,10,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Liliopsida,Poales,Poaceae,Bromus,inermis,SPECIES,Leyss.,Bromus inermis Leyss.,1,0,3,0,15,0,20,10,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10,0,0,0,0,15,0,13,0,0,0,10,4,2,0,0,4,0,0,0,0,0,5,0,10,0,0,0
Liliopsida,Poales,Poaceae,Bromus,riparius,SPECIES,Rehmann,Bromus riparius Rehmann,15,7,10,0,0,0,15,7,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,7,25,14,13,20,0,0,0,15,0,15,0,0,0,5,16,0,0,0,12,15,4,20,20,5,0,0,0,0,0,0,0,0,0,0,0
Liliopsida,Poales,Poaceae,Festuca,rupicola,SPECIES,Heuff.,Festuca rupicola Heuff.,0,5,1,0,5,15,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Liliopsida,Poales,Poaceae,Festuca,valesiaca,SPECIES,Schleich. ex Gaudin,Festuca valesiaca Schleich. ex Gaudin,40,20,10,70,30,60,40,10,0,70,60,40,60,50,50,70,70,40,25,20,35,0,0,0,7,0,0,6,0,5,15,50,20,40,10,50,15,20,18,30,60,10,20,0,25,50,0,20,12,35,7,65,70,60,15,45,65,55,30,35,0,0,65,50,60,45,45,45
Liliopsida,Poales,Poaceae,Koeleria,pyramidata,SPECIES,(Lam.) P.Beauv.,Koeleria pyramidata (Lam.) P.Beauv.,0,0,5,5,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,6,7,10,0,10,0,0,0,0,0,7,5,5,10,0
Liliopsida,Poales,Poaceae,Poa,angustifolia,SPECIES,L.,Poa angustifolia L.,0,5,0,0,3,0,0,25,25,0,0,0,0,0,0,0,0,11,0,0,0,3,0,0,0,0,0,65,20,20,0,0,0,0,0,0,0,0,25,0,30,7,8,0,50,14,0,60,20,0,20,0,0,22,0,0,0,0,0,0,0,0,0,0,15,0,0,0
Liliopsida,Poales,Poaceae,Stipa,dasyphylla,SPECIES,(Lindem.) Czern. ex Trautv.,Stipa dasyphylla (Lindem.) Czern. ex Trautv.,5,25,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Liliopsida,Poales,Poaceae,Stipa,lessingiana,SPECIES,Trin. & Rupr.,Stipa lessingiana Trin. & Rupr.,3,15,25,0,0,0,0,0,0,0,0,8,0,5,0,5,8,0,50,60,0,0,0,0,20,0,0,0,0,0,0,0,60,15,35,20,30,20,0,0,0,0,6,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,10,7,0,0,15
